generation,best_fitness,avg_fitness,median_eta,median_lambda,median_drift
164,7.0,0.2265625,0.10159726040619194,0.251126470020679,0.5357923411109773
165,8.0,0.1953125,0.10139502489021057,0.25040865523797506,0.4264352052203781
166,4.0,0.15625,0.10154593487080893,0.241856589415143,0.4122343462555545
167,5.0,0.109375,0.10171659332415911,0.22220298337020533,0.3521726665117557
168,2.0,0.1484375,0.10231782528892976,0.2055698583057468,0.39650986452629333
169,2.0,0.125,0.10212525769997824,0.22220298337020533,0.39655260346525734
170,4.0,0.1640625,0.10239253726107084,0.241856589415143,0.42222696297569995
171,2.0,0.046875,0.10193202770959182,0.241856589415143,0.3418935979425472
172,2.0,0.1875,0.10185739518834114,0.241856589415143,0.3709506270747799
173,5.0,0.21875,0.1019235497627357,0.241856589415143,0.30535797020592337
174,2.0,0.125,0.10073725121134872,0.2220501158008609,0.2884365441197939
175,8.0,0.234375,0.10043781468492313,0.19656684708045238,0.2953814402354695
176,3.0,0.1484375,0.10045285926257796,0.19656684708045238,0.3039243483532509
177,2.0,0.171875,0.10026123824336863,0.19656684708045238,0.22936393233635505
178,5.0,0.3203125,0.10031959061987972,0.19656684708045238,0.2964094008442407
179,5.0,0.2734375,0.10012056493466454,0.19656684708045238,0.42543423435092553
180,5.0,0.5078125,0.09966540939618813,0.19656684708045238,0.28778221144709215
181,5.0,0.3046875,0.09950600104214827,0.1943478533747537,0.44921993532015503
182,4.0,0.1796875,0.09857421072840802,0.17232958791246653,0.47727080123442145
183,5.0,0.28125,0.09935598051333333,0.1663643177354165,0.5979103410654093
184,4.0,0.3359375,0.09941794857435055,0.1663643177354165,0.514774863085028
185,3.0,0.2421875,0.09889538013497681,0.16161473164422577,0.6453913149670661
186,5.0,0.390625,0.09895333485072258,0.1630938065343898,0.5259967440558355
187,5.0,0.2421875,0.10007955424221568,0.19656684708045238,0.5113500765076552
188,5.0,0.3125,0.09914975652292601,0.19656684708045238,0.4325394205674525
189,5.0,0.4921875,0.09822887795070619,0.19656684708045238,0.35557942776061735
190,3.0,0.2265625,0.09711371533977839,0.2032933140242552,0.3550680076963313
191,5.0,0.2734375,0.09744501699824873,0.2032933140242552,0.32590751044795674
192,5.0,0.2578125,0.09704877959206094,0.209033500205901,0.5688876724744301
193,3.0,0.171875,0.09653690610328966,0.2262956713611582,0.5209712220891525
194,4.0,0.2265625,0.09707447524146776,0.2620137537298589,0.5065545182390507
195,6.0,0.4296875,0.09710204354276633,0.29265787379270203,0.4302748523269687
196,5.0,0.3359375,0.09694802342710043,0.29265787379270203,0.5121290111393513
197,4.0,0.2421875,0.09643733312304817,0.2570292032546715,0.42025419466039193
198,3.0,0.3984375,0.09558231870374534,0.1986465962010584,0.6018599371294269
199,3.0,0.265625,0.09542947127423598,0.17622133436881876,0.45203499543702014
200,5.0,0.296875,0.0954446713989166,0.17622133436881876,0.6600333693789329
201,3.0,0.2265625,0.09540330952179579,0.1848148819206524,0.4731957692029324
202,4.0,0.2734375,0.0947689027319232,0.17622133436881876,0.3706889860670733
203,3.0,0.3046875,0.0951743488189605,0.1848148819206524,0.38281801262475706
204,4.0,0.3125,0.09542283763787664,0.17622133436881876,0.35768654666572297
205,6.0,0.359375,0.09542283763787664,0.1077446195295565,0.2693280927082191
206,4.0,0.2734375,0.09562701628075751,0.1077446195295565,0.21712359239893697
207,3.0,0.28125,0.09684622818096089,0.12688217757852543,0.41027592669847457
208,5.0,0.2890625,0.09597526975451696,0.12795666132385436,0.47390279104631305
209,3.0,0.3125,0.09635674498333095,0.14131781263256327,0.43988432997804355
210,3.0,0.2578125,0.09763381042741769,0.1516702855274864,0.5772407822687413
211,6.0,0.2421875,0.09858052133629014,0.1516702855274864,0.5693575145517098
212,3.0,0.1640625,0.09968502760484509,0.1516702855274864,0.5179930578056944
213,2.0,0.1875,0.10076840296995546,0.14462563079551874,0.41620293700140243
214,5.0,0.1484375,0.09943821810666163,0.14462563079551874,0.3166253715105032
215,3.0,0.1484375,0.09829364911577695,0.1516702855274864,0.39685651815465073
216,2.0,0.15625,0.09877813618854607,0.15155791161844176,0.4058477057527857
217,5.0,0.15625,0.09919183864894754,0.14465691582082357,0.3418101220603451
218,5.0,0.1953125,0.09949296872800996,0.11771750085461266,0.2853000420753833
219,5.0,0.203125,0.10010583605902999,0.15144553770939712,0.2934611583417261
220,4.0,0.140625,0.09939109776415263,0.21428453138816708,0.24704169049644498
221,3.0,0.1953125,0.09906764444669403,0.2059577879435171,0.3418286115905461
222,5.0,0.2265625,0.09981662493169319,0.201715559479984,0.25221309956222576
223,5.0,0.2421875,0.1001772959964536,0.15881169575984955,0.24811733250261592
224,3.0,0.21875,0.09987980914888227,0.1603499003680018,0.0713902671760048
225,3.0,0.171875,0.10060734425408507,0.1603499003680018,0.15575418436863286
226,5.0,0.265625,0.10125019748118014,0.1603499003680018,0.17025882844991502
227,5.0,0.2578125,0.10284827325884785,0.20467902479296443,0.18694161922131314
228,4.0,0.171875,0.10295342130796836,0.21402005250250322,0.16634636535449754
229,2.0,0.15625,0.10170189130391999,0.22625358907683052,0.1749428256405678
230,5.0,0.109375,0.10179450424690303,0.24734391642587997,0.09934390080251987
231,4.0,0.1796875,0.10256346343986138,0.22791362685093236,0.1148199374579782
232,7.0,0.2265625,0.10113909783942185,0.2295736646250342,0.12108106151485504
233,3.0,0.171875,0.1009680730065827,0.2295736646250342,0.1614788456180619
234,7.0,0.3828125,0.10090496605443736,0.23679695708038764,0.1808635989755598
235,7.0,0.296875,0.10139115268090904,0.24257063795021344,0.16722032327522512
236,7.0,0.3359375,0.10150651038180503,0.254202212320601,0.23804710310635682
237,4.0,0.1484375,0.1023112371995897,0.3094211727314605,0.13663601373202544
238,5.0,0.15625,0.10234559440642389,0.3071776781960511,0.21212417621756813
239,4.0,0.171875,0.10125560374391199,0.22995784362349697,0.32623676207071606
240,10.0,0.1953125,0.10185094378700182,0.22995784362349697,0.24468326728192652
241,7.0,0.2265625,0.10209536317408005,0.2633244097385836,0.27377070061644043
242,9.0,0.3828125,0.10156196599771655,0.24644080863567536,0.2600533178404686
243,4.0,0.2265625,0.10187702050844546,0.27057731206472296,0.2468549573697698
244,9.0,0.3203125,0.10098494309317016,0.29436557009405584,0.1578914417329046
245,6.0,0.28125,0.10094138408840284,0.31395598748947035,0.22712603757873748
246,7.0,0.3515625,0.10039103246101408,0.31395598748947035,0.25252571563362153
247,5.0,0.078125,0.09901058585843714,0.2173014111991702,0.11954910189174654
248,14.0,0.4453125,0.09826005897912972,0.21199715680655867,0.21220663915056595
249,4.0,0.21875,0.09766133104495248,0.1679818873727584,0.0757436008430564
250,3.0,0.1796875,0.09862079296056706,0.1679818873727584,0.1380574758042986
251,4.0,0.203125,0.09970332602165705,0.1679818873727584,0.13927928763695008
252,3.0,0.1953125,0.09976366376441564,0.16423250733676314,0.13479797113637462
253,3.0,0.28125,0.09991553050072591,0.17759257353081276,0.0925602387737615
254,3.0,0.3203125,0.09945443607053928,0.17759257353081276,0.11766369623526535
255,5.0,0.390625,0.09812044962206784,0.16048312730076789,0.08640521723277483
256,4.0,0.2578125,0.09829298371407613,0.16048312730076789,0.044805668402334686
257,3.0,0.3203125,0.09799808358846653,0.14222799102202627,0.08560912485290174
258,3.0,0.1015625,0.09842593233099069,0.10905961832315522,0.10854936230220313
259,3.0,0.2265625,0.09813758623878643,0.12147736421303654,0.06586082345912662
260,4.0,0.1953125,0.09782859303228954,0.11059167122233528,0.09230240076234568
261,3.0,0.2421875,0.09722709227679785,0.1082617312649114,0.15764082885288772
262,4.0,0.3203125,0.09758939213105515,0.08218191876952859,0.11492849706697769
263,4.0,0.3046875,0.0994990426413884,0.08218191876952859,0.018519687244334622
264,4.0,0.296875,0.0992789964147005,0.08218191876952859,0.06602901424612806
265,4.0,0.34375,0.09923993972433567,0.08218191876952859,0.02851653858235591
266,3.0,0.1796875,0.09973049753317795,0.08218191876952859,0.01184323292091835
267,4.0,0.2578125,0.10028774687081375,0.06820265696174753,0.01178414353606027
268,3.0,0.34375,0.10023383999460475,0.08218191876952859,0.024560184433849483
269,5.0,0.3515625,0.10010735956578748,0.08218191876952859,0.11727748902591384
270,5.0,0.3984375,0.09957132821804662,0.08787737881732854,0.1197838194280436
271,5.0,0.2734375,0.09883161751235015,0.13399068205628223,0.06885292034659055
272,4.0,0.3359375,0.0988672395775263,0.15310969278947184,0.18724881192486442
273,5.0,0.328125,0.09878599805280268,0.14654703120030155,0.06239141963014784
274,5.0,0.40625,0.10040000594389183,0.13399068205628223,0.0498441402268915
275,5.0,0.34375,0.10019052619752952,0.13870471626102426,0.0346870056432067
276,5.0,0.3359375,0.09974888974975715,0.14207798704929275,0.07038965614094458
277,5.0,0.390625,0.1004310685930733,0.17626517515638626,0.06625347852427042
278,5.0,0.3671875,0.10119570877161563,0.1999922340233431,0.04595081191940753
279,5.0,0.328125,0.10128297508954304,0.18960131869183988,0.07120795899893914
280,5.0,0.4140625,0.10056778974573152,0.2565821309708662,0.07543662501987039
281,5.0,0.2890625,0.0998559536299129,0.2565821309708662,0.06825071657659315
282,5.0,0.2890625,0.09885864436092977,0.24308679058262306,0.18932235853023793
283,5.0,0.2109375,0.10069879977651147,0.2565821309708662,0.06160798513914673
284,6.0,0.34375,0.10071150893631539,0.2503133076857885,0.07630394062157209
285,5.0,0.2421875,0.09899511257376459,0.2720971320726764,0.042137046961397195
286,3.0,0.359375,0.09959718307385046,0.371528771801768,0.022495299729624493
287,4.0,0.359375,0.09925961560771487,0.3709637447593483,0.02353191288256791
288,6.0,0.3671875,0.09903158388511568,0.371528771801768,0.055320276369016354
289,4.0,0.2578125,0.09872158156339393,0.4592103652112932,0.02647083901586371
290,3.0,0.3125,0.09860236864426347,0.4813576965931352,0.03750953519790989
291,3.0,0.4609375,0.09884837911797113,0.4634042228855561,0.04426966038605956
292,5.0,0.2734375,0.09927895619261046,0.4806841095363813,0.04231724821954888
293,3.0,0.1640625,0.0990006361565597,0.5033680839033299,0.06831001593558836
294,4.0,0.3203125,0.10001097863439452,0.4813576965931352,0.08650587868878301
295,3.0,0.1875,0.10075629763859413,0.4634042228855561,0.11166409661865337
296,4.0,0.296875,0.10146899824819636,0.48014042927611394,0.05507579263916414
297,4.0,0.234375,0.10146837900956347,0.4634042228855561,0.02355307857348786
298,6.0,0.328125,0.099958215472532,0.4634042228855561,0.027570159781251484
299,6.0,0.421875,0.10046317145225689,0.4634042228855561,0.027274078542482053
300,6.0,0.390625,0.10097527414706789,0.44104107091668904,0.02012112471269362
301,4.0,0.21875,0.10186519734144606,0.44104107091668904,0.007714319757116983
302,4.0,0.3359375,0.10171302989938674,0.4605363920149978,0.010215349072755415
303,4.0,0.3671875,0.1004178719412917,0.4605363920149978,0.0067225300252859565
304,4.0,0.328125,0.09996900426708982,0.4823565768123689,0.005049581420301357
305,4.0,0.3359375,0.10002619086672629,0.4959027892125544,0.004176385454262748
306,4.0,0.28125,0.10105577198678135,0.4823565768123689,0.012193602482245413
307,4.0,0.3125,0.09953761525082347,0.4147041287973314,0.007163522572637017
308,4.0,0.2734375,0.09928230516459682,0.3245125409754062,0.003493066954383295
309,5.0,0.2109375,0.09929510346109001,0.3245125409754062,0.01595851676434577
310,4.0,0.28125,0.09830073261896878,0.32010856011968186,0.014460155238023065
311,4.0,0.328125,0.09985668502866092,0.3245125409754062,0.009656583065779184
312,4.0,0.3203125,0.10071141650562922,0.3245125409754062,0.023779175908657198
313,4.0,0.375,0.10002139681235425,0.3245125409754062,0.00622633307565036
314,4.0,0.3515625,0.0994583373484194,0.41019463883614066,0.027721286416255972
315,4.0,0.3828125,0.09963990906638784,0.3245125409754062,0.010044865198784916
316,4.0,0.34375,0.10098814597263898,0.3245125409754062,0.014421663439184301
317,4.0,0.265625,0.10100995182231547,0.4120642916999676,0.00482382308063352
318,4.0,0.3828125,0.10205936679673352,0.3245125409754062,0.004936826409980617
319,4.0,0.2890625,0.1017623620121248,0.3182339614091172,0.015587283041178892
320,4.0,0.3046875,0.10199933365300667,0.31521818462390927,0.006810352612645673
321,5.0,0.3515625,0.102424552394419,0.31521818462390927,0.012495569476789517
322,4.0,0.2109375,0.10161293672515274,0.31521818462390927,0.018560857922580047
323,5.0,0.2421875,0.10156426417807542,0.33568643283382676,0.0021090637723712486
324,5.0,0.4765625,0.10213091934889854,0.3842341866980308,0.004950672470237522
325,5.0,0.28125,0.10245436167724291,0.4056884864612782,0.0014351658123101531
326,5.0,0.359375,0.10232367899140246,0.4418663165453168,0.0018300333304777133
327,5.0,0.4453125,0.10212321177095177,0.4056884864612782,0.07906274852582372
328,5.0,0.28125,0.10172181719851309,0.38405047942787085,0.011445476942186188
329,5.0,0.3359375,0.10150414405998151,0.36107453925911215,0.005817466495448205
330,5.0,0.421875,0.10092049884615675,0.31521818462390927,0.04386049256464392
331,5.0,0.2265625,0.10082373033892786,0.36497314595434727,0.061488721391035596
332,5.0,0.4296875,0.1011114586509465,0.38738041313066107,0.08294083022988791
333,5.0,0.3828125,0.10186798394070196,0.320871830731476,0.036431074458569426
334,5.0,0.453125,0.10184605081493311,0.31521818462390927,0.03610888716960728
335,5.0,0.3125,0.10158417784927073,0.31521818462390927,0.022084662192763047
336,5.0,0.390625,0.1003824530851338,0.33090384506953596,0.03019566737551453
337,6.0,0.4921875,0.09984601197085938,0.33051281563920265,0.02937555190805962
338,5.0,0.5625,0.10156489060223403,0.3456571302967313,0.007819863310584403
339,5.0,0.4765625,0.10071676645990738,0.3860233298552914,0.019166274771246952
340,3.0,0.203125,0.10049865458588902,0.3563708213728413,0.0015871423008867402
341,3.0,0.328125,0.10022513118954018,0.3364396887733729,0.03725280502410319
342,3.0,0.2421875,0.10080991405090395,0.3658313744021434,0.009730645521780297
343,3.0,0.15625,0.10066199504426734,0.4056340120978999,0.014626528458958885
344,3.0,0.1484375,0.09851845977378658,0.42432403581319306,0.0014274403033737722
345,3.0,0.1796875,0.09829168639610104,0.36900709946007193,0.0006389756658955826
346,3.0,0.2421875,0.1000261331561282,0.36265564934421496,0.006242993121200107
347,4.0,0.3203125,0.10035646107334997,0.36900709946007193,0.013475838854030201
348,3.0,0.203125,0.10060778422443276,0.36900709946007193,0.0023565480858769835
349,3.0,0.1796875,0.09950599806951532,0.4059485539700476,0.011408513703483537
350,3.0,0.203125,0.09918159880827859,0.3713022357299396,0.0015540375611473023
351,3.0,0.1875,0.09940677662300167,0.46378001882312375,0.002700348814366165
352,4.0,0.2734375,0.0999006225728545,0.4645145388449732,0.011211060390491296
353,3.0,0.2109375,0.10021189053524987,0.4645145388449732,0.013070904522532577
354,3.0,0.2578125,0.09989343198439121,0.46378001882312375,0.00178173745167077
355,3.0,0.21875,0.09981762650255074,0.4350710076565964,0.014364100628689576
356,3.0,0.3359375,0.09988499566188022,0.41377261597564013,0.009098316946817888
357,7.0,0.3828125,0.10048179089506903,0.4350710076565964,0.004968188370244778
358,4.0,0.15625,0.10063911790778718,0.4350710076565964,0.019996331685571307
359,4.0,0.2578125,0.10082061608642179,0.43493017839083337,0.0310277337899044
360,7.0,0.3984375,0.10071584315485665,0.3842836282235546,0.05517147940525814
361,4.0,0.2734375,0.10040705932222052,0.3487814926554681,0.0740305819966775
362,2.0,0.1640625,0.10146767423016269,0.3471824372593701,0.022477865317436577
